booking_id,client_id,trip_id,seat_number
1,1,23,1
2,1,23,2
3,1,23,3
4,1,23,4
5,2,20,1
6,2,20,2
7,3,1,1
8,3,1,2
9,3,1,3
10,3,1,4
11,3,38,1
12,3,38,2
13,4,37,1
14,4,37,2
15,4,37,3
16,4,33,1
17,4,33,2
18,4,33,3
19,5,13,1
20,5,13,2
21,5,13,3
22,6,26,1
23,6,26,2
24,6,26,3
25,6,26,4
26,7,20,3
27,7,20,4
28,7,20,5
29,7,20,6
30,8,36,1
31,8,7,1
32,8,7,2
33,9,22,1
34,9,22,2
35,9,22,3
36,10,25,1
37,10,25,2
38,10,25,3
39,10,25,4
40,11,28,1
41,11,37,4
42,11,37,5
43,12,44,1
44,12,44,2
45,13,42,1
46,14,2,1
47,14,2,2
48,14,2,3
49,15,16,1
50,16,6,1
51,17,40,1
52,18,7,3
53,19,28,2
54,19,21,1
55,19,21,2
56,19,21,3
57,19,21,4
58,20,27,1
59,20,27,2
60,20,27,3
61,21,8,1
62,21,8,2
63,21,8,3
64,21,8,4
65,22,29,1
66,22,29,2
67,22,29,3
68,22,29,4
69,22,40,2
70,22,40,3
71,22,40,4
72,23,16,2
73,23,16,3
74,23,16,4
75,23,16,5
76,24,16,6
77,24,16,7
78,25,43,1
79,25,43,2
80,26,37,6
81,26,37,7
82,27,42,2
83,27,42,3
84,27,42,4
85,28,28,3
86,28,28,4
87,28,28,5
88,28,43,3
89,28,43,4
90,28,43,5
91,28,43,6
92,29,12,1
93,29,12,2
94,29,12,3
95,30,33,4
96,30,41,1
97,30,41,2
98,30,41,3
99,30,41,4
100,31,43,7
101,31,17,1
102,31,17,2
103,31,17,3
104,31,17,4
105,32,12,4
106,33,37,8
107,33,37,9
108,33,7,4
109,33,7,5
110,33,7,6
111,33,26,5
112,34,38,3
113,35,11,1
114,35,11,2
115,35,11,3
116,35,11,4
117,36,34,1
118,36,12,5
119,37,18,1
120,38,23,5
121,38,23,6
122,38,23,7
123,38,23,8
124,39,2,4
125,39,2,5
126,39,32,1
127,39,32,2
128,39,32,3
129,39,32,4
130,40,16,8
131,41,15,1
132,41,15,2
133,41,15,3
134,41,15,4
135,42,2,6
136,42,9,1
137,43,20,7
138,43,20,8
139,44,24,1
140,44,24,2
141,44,24,3
142,45,17,5
143,45,17,6
144,45,17,7
145,46,25,5
146,46,25,6
147,46,25,7
148,47,46,1
149,47,41,5
150,47,41,6
151,49,31,1
152,49,31,2
153,49,31,3
154,50,5,1
155,50,5,2
156,50,10,1
157,50,10,2
158,50,10,3
