booking_id,client_id,trip_id,seat_number
1,1,18,7
2,2,32,10
3,3,17,7
4,3,13,7
5,4,38,7
6,4,4,10
7,5,31,2
8,5,23,3
9,5,20,4
10,6,34,10
11,7,34,7
12,7,15,3
13,7,32,12
14,8,4,5
15,8,37,5
16,8,38,5
17,9,22,4
18,9,5,3
19,9,12,6
20,10,5,7
21,10,4,3
22,11,38,8
23,12,30,4
24,12,15,2
25,13,38,3
26,13,23,3
27,14,31,11
28,14,9,11
29,15,13,8
30,16,17,6
31,16,29,3
32,16,11,6
33,17,29,3
34,17,19,6
35,17,4,6
36,18,24,5
37,19,38,6
38,19,13,1
39,19,24,6
40,20,34,6
41,21,17,12
42,22,7,5
43,23,7,8
44,24,19,9
45,24,14,1
46,25,17,12
47,26,11,9
48,26,36,11
49,27,19,5
50,28,13,10
51,29,9,3
52,29,10,10
53,30,34,2
54,31,35,11
55,31,38,10
56,32,37,1
57,32,6,11
58,32,21,11
59,33,34,12
60,34,18,7
61,35,15,12
62,35,24,12
63,35,2,7
64,36,21,8
65,36,29,1
66,36,9,1
67,37,12,11
68,37,25,3
69,37,14,10
70,38,30,1
71,39,36,8
72,39,27,7
73,40,23,8
74,40,20,11
75,40,27,7
76,41,31,4
77,41,4,4
78,42,38,3
79,42,15,2
80,42,6,12
81,43,10,3
82,43,18,12
83,43,28,1
84,44,4,10
85,45,17,1
86,45,6,1
87,45,19,8
88,46,27,7
89,46,25,10
90,47,31,4
91,48,18,12
92,48,20,5
93,48,30,2
94,49,21,9
95,50,30,11
