cost_id,trip_id,cost_type,amount
1,1,Fuel,44296.41
2,1,Logistics,65203.59
3,2,Fuel,26490.78
4,2,Maintenance,38658.55
5,2,Crew,44350.67
6,3,Crew,28747.65
7,3,Fuel,28156.47
8,3,Fuel,30857.24
9,3,Maintenance,24738.64
10,4,Logistics,22897.24
11,4,Maintenance,25802.98
12,4,Maintenance,31644.69
13,4,Crew,32155.09
14,5,Maintenance,64793.63
15,5,Fuel,47706.37
16,6,Fuel,36711.86
17,6,Logistics,27362.95
18,6,Crew,32346.72
19,6,Logistics,37078.47
20,7,Fuel,44709.88
21,7,Logistics,88790.12
22,8,Fuel,85135.44
23,8,Crew,48364.56
24,9,Fuel,37880.13
25,9,Maintenance,31119.87
26,10,Fuel,14867.81
27,10,Maintenance,17429.19
28,10,Fuel,19773.46
29,10,Crew,16929.54
30,11,Maintenance,13947.17
31,11,Logistics,18107.02
32,11,Logistics,20501.78
33,11,Maintenance,16444.03
34,12,Fuel,28199.6
35,12,Crew,17777.82
36,12,Fuel,13431.14
37,12,Fuel,14591.44
38,13,Fuel,14947.85
39,13,Logistics,21615.37
40,13,Maintenance,21251.59
41,13,Logistics,16185.19
42,14,Logistics,20993.79
43,14,Maintenance,13139.76
44,14,Fuel,18070.8
45,14,Crew,17795.65
46,15,Fuel,25489.62
47,15,Logistics,16234.99
48,15,Maintenance,28275.39
49,16,Fuel,21720.87
50,16,Maintenance,22981.91
51,16,Maintenance,25297.22
52,17,Fuel,17000.57
53,17,Crew,21375.19
54,17,Logistics,22508.93
55,17,Logistics,10115.3
56,18,Fuel,21367.19
57,18,Fuel,15745.18
58,18,Logistics,16802.47
59,18,Fuel,17085.16
60,19,Logistics,20004.67
61,19,Maintenance,10176.13
62,19,Maintenance,22810.08
63,19,Maintenance,18009.13
64,20,Fuel,18101.93
65,20,Fuel,10395.19
66,20,Logistics,20808.9
67,20,Maintenance,21693.98
68,21,Fuel,24143.53
69,21,Logistics,16551.9
70,21,Maintenance,15684.37
71,21,Crew,14620.2
72,22,Fuel,26262.37
73,22,Crew,45737.63
74,23,Logistics,24163.89
75,23,Fuel,26284.56
76,23,Maintenance,21551.55
77,24,Logistics,16435.87
78,24,Crew,14215.37
79,24,Logistics,20261.22
80,24,Fuel,21087.54
81,25,Maintenance,19264.26
82,25,Crew,12728.1
83,25,Logistics,20062.11
84,25,Maintenance,17945.53
85,26,Maintenance,20223.83
86,26,Crew,23779.58
87,26,Crew,25996.59
88,27,Logistics,26184.12
89,27,Crew,30541.9
90,27,Logistics,15273.99
91,28,Logistics,34695.08
92,28,Maintenance,34208.2
93,28,Logistics,34872.99
94,28,Maintenance,22223.73
95,29,Maintenance,52889.2
96,29,Logistics,26967.08
97,29,Logistics,46143.72
98,30,Fuel,65414.45
99,30,Fuel,45585.55
100,31,Logistics,25111.47
101,31,Crew,12348.77
102,31,Fuel,15679.12
103,31,Fuel,18860.64
104,32,Fuel,34530.3
105,32,Crew,25241.22
106,32,Fuel,31016.78
107,32,Crew,32211.7
108,33,Logistics,58834.96
109,33,Maintenance,58165.04
110,34,Maintenance,71689.95
111,34,Crew,60310.05
112,35,Crew,73624.34
113,35,Logistics,38875.66
114,36,Logistics,23863.17
115,36,Fuel,19907.86
116,36,Crew,37514.66
117,36,Fuel,31214.31
118,37,Maintenance,49384.75
119,37,Crew,78115.25
120,38,Logistics,25631.09
121,38,Logistics,18255.01
122,38,Maintenance,30113.9
123,39,Maintenance,23896.6
124,39,Maintenance,24032.66
125,39,Crew,26070.74
126,40,Fuel,19463.33
127,40,Maintenance,15726.3
128,40,Logistics,14369.57
129,40,Maintenance,23440.79
130,41,Maintenance,20045.48
131,41,Maintenance,32471.77
132,41,Logistics,20482.75
133,42,Logistics,18381.11
134,42,Logistics,29055.16
135,42,Crew,25563.72
136,43,Fuel,61960.22
137,43,Logistics,68539.78
138,44,Logistics,33057.54
139,44,Fuel,43247.7
140,44,Fuel,54194.76
141,45,Maintenance,37586.05
142,45,Fuel,30728.31
143,45,Maintenance,48685.64
144,46,Fuel,64594.88
145,46,Logistics,67405.12
