cost_id,trip_id,description,amount
1,1,Fuel,2338.27
2,1,Maintenance,3417.26
3,1,Logistics,3244.47
4,2,Maintenance,3428.24
5,2,Crew,3219.49
6,2,Fuel,2352.28
7,3,Crew,3469.22
8,3,Crew,2210.65
9,3,Maintenance,3320.12
10,4,Maintenance,4480.6
11,4,Logistics,4519.4
12,5,Maintenance,3192.73
13,5,Fuel,3493.07
14,5,Fuel,2314.2
15,6,Fuel,1616.74
16,6,Logistics,3251.37
17,6,Logistics,2379.0
18,6,Maintenance,1752.89
19,7,Logistics,3263.87
20,7,Logistics,3665.51
21,7,Fuel,2070.62
22,8,Crew,37326.78
23,8,Fuel,18571.02
24,8,Maintenance,32162.58
25,8,Fuel,26793.37
26,9,Logistics,2959.16
27,9,Maintenance,3463.73
28,9,Crew,2577.1
29,10,Logistics,1742.2
30,10,Maintenance,1813.71
31,10,Fuel,2208.16
32,10,Maintenance,3235.93
33,11,Maintenance,2091.53
34,11,Maintenance,3318.17
35,11,Logistics,3590.3
36,12,Maintenance,2314.64
37,12,Crew,2657.79
38,12,Maintenance,1519.77
39,12,Crew,2507.79
40,13,Fuel,4728.54
41,13,Logistics,4271.46
42,14,Maintenance,31754.26
43,14,Fuel,43332.49
44,14,Logistics,35567.11
45,15,Crew,36938.29
46,15,Crew,31747.4
47,15,Logistics,24135.66
48,15,Logistics,22032.51
49,16,Crew,4641.96
50,16,Maintenance,4358.04
51,17,Crew,3315.4
52,17,Fuel,5684.6
53,18,Maintenance,2719.55
54,18,Fuel,2244.05
55,18,Logistics,4036.4
56,19,Logistics,2764.73
57,19,Maintenance,4090.37
58,19,Maintenance,2144.9
59,20,Fuel,2356.07
60,20,Logistics,2188.24
61,20,Crew,2339.76
62,20,Maintenance,2115.93
63,21,Logistics,1897.31
64,21,Maintenance,3368.34
65,21,Crew,3734.34
66,22,Logistics,4922.28
67,22,Maintenance,4077.72
68,23,Fuel,3194.54
69,23,Logistics,2439.59
70,23,Fuel,3365.87
71,24,Crew,15625.31
72,24,Crew,15360.74
73,24,Maintenance,14908.5
74,25,Crew,39236.93
75,25,Crew,26582.37
76,25,Fuel,44832.59
77,26,Logistics,79753.94
78,26,Fuel,35098.5
79,27,Logistics,2800.07
80,27,Fuel,3304.09
81,27,Logistics,2895.84
82,28,Logistics,5258.6
83,28,Logistics,3741.4
84,29,Fuel,3202.39
85,29,Fuel,2457.34
86,29,Fuel,3340.27
87,30,Crew,5551.14
88,30,Crew,3448.86
89,31,Maintenance,38760.34
90,31,Crew,36187.92
91,31,Maintenance,35704.12
92,32,Maintenance,3832.78
93,32,Crew,5167.22
94,33,Fuel,2492.55
95,33,Logistics,2092.29
96,33,Maintenance,2361.01
97,33,Fuel,2054.15
98,34,Maintenance,2209.77
99,34,Fuel,2750.0
100,34,Crew,1480.57
101,34,Fuel,2559.65
102,35,Logistics,2078.42
103,35,Logistics,2532.34
104,35,Fuel,2160.52
105,35,Fuel,2228.71
106,36,Crew,4897.75
107,36,Logistics,4102.25
108,37,Logistics,32633.94
109,37,Fuel,43435.76
110,38,Maintenance,31522.33
111,38,Maintenance,44547.35
112,39,Crew,2423.71
113,39,Fuel,2005.11
114,39,Fuel,2061.69
115,39,Crew,2509.49
116,40,Crew,31673.01
117,40,Logistics,44396.87
118,41,Maintenance,34781.16
119,41,Fuel,75909.36
120,42,Logistics,5389.41
121,42,Maintenance,3610.59
122,43,Maintenance,33342.99
123,43,Maintenance,34548.21
124,43,Maintenance,42799.31
125,44,Crew,1946.94
126,44,Fuel,2688.89
127,44,Fuel,2404.01
128,44,Logistics,1960.16
