employee_id,position
1,Technician
2,Mission Specialist
3,Commander
4,Pilot
5,Navigator
6,Technician
7,Mission Specialist
8,Commander
9,Pilot
10,Navigator
11,Technician
12,Mission Specialist
13,Commander
14,Pilot
15,Navigator
16,Technician
17,Mission Specialist
18,Commander
19,Pilot
20,Navigator
21,Technician
22,Mission Specialist
23,Commander
24,Pilot
25,Navigator
26,Technician
27,Mission Specialist
28,Commander
29,Pilot
30,Navigator
31,Technician
32,Mission Specialist
33,Commander
34,Pilot
35,Navigator
36,Technician
37,Mission Specialist
38,Commander
39,Pilot
40,Navigator
41,Technician
42,Mission Specialist
43,Commander
44,Pilot
45,Navigator
46,Technician
47,Mission Specialist
48,Commander
49,Pilot
50,Navigator
