planet_id,planet,x_coord,y_coord,z_coord,galaxy_id
1,Aetheria,107.53,202.53,-254.13,1
2,Zorath,256.5,223.12,-367.84,1
3,Nyxos,206.21,853.52,121.84,6
4,Virella,472.48,342.13,-688.09,10
5,Targus,977.19,-268.32,-996.03,4
6,Ecliptor,27.42,989.45,97.91,8
7,Orionis,510.93,-678.18,766.8,13
8,Caelora,-619.99,889.93,-367.94,2
9,Draconis,-553.98,878.54,-501.11,2
10,Pyrrhos,508.51,322.04,-739.29,10
11,Talmera,-293.31,664.82,-907.47,9
12,Lunaris,185.63,281.38,-219.27,1
13,Zephyra,-611.32,900.21,-444.37,2
14,Solvana,-198.59,51.44,-50.26,12
15,Obscura,190.73,784.63,51.4,6
16,Cryon,200.67,200.98,-380.01,1
17,Valtor,906.52,-222.98,-980.23,4
18,Serenos,830.98,-223.52,-914.66,4
19,Arctyra,503.43,-180.04,504.89,15
20,Phobaris,556.5,-261.71,524.39,15
