planet_id,planet,system_id,orbit_period_days,special_features,day0_x_coord,day0_y_coord,day0_z_coord
1,Cerestra,1,708,"diamond_rain,huge_gravity,magnetic_storms,sulfuric_acid_fog",3.84,-9.88,5.65
2,Phaedra,1,790,"magnetic_storms,frozen_oceans,1000*C",-8.15,5.76,4.94
3,Daphne,1,974,1000*C,0.26,-6.11,1.13
4,Undina,1,759,"frozen_oceans,magnetic_storms,eternal_night,diamond_rain",-3.4,3.43,1.09
5,Quirina,1,434,"frozen_oceans,pink_sun,eternal_night,comets_rain,diamond_rain,magnetic_storms,huge_gravity,emerald_lakes,1000*C",4.65,-0.71,-9.06
6,Hyperion,1,955,"diamond_rain,comets_rain,magnetic_storms,eternal_night",-5.99,-3.95,-9.48
7,Favonius,1,760,"magnetic_storms,sulfuric_acid_fog",-2.99,7.45,1.15
8,Hemera,2,675,"glowing_mountains,diamond_rain,1000*C,huge_gravity,emerald_lakes,eternal_night",828.3,-565.85,734.7
9,Idonea,2,650,"sulfuric_acid_fog,magnetic_storms",822.81,-565.25,733.86
10,Oenone,2,178,eternal_night,817.97,-560.81,733.52
11,Vulcanea,2,626,,823.03,-568.11,725.39
12,Gorgona,2,475,"eternal_night,comets_rain,huge_gravity,frozen_oceans,sulfuric_acid_fog",814.19,-563.98,738.37
13,Larissa,2,212,"pink_sun,1000*C,frozen_oceans,comets_rain,sulfuric_acid_fog",830.67,-574.45,735.06
14,Naida,3,709,diamond_rain,753.7,-514.87,806.83
15,Panacea,3,353,"comets_rain,glowing_mountains,sulfuric_acid_fog",752.72,-510.44,810.97
16,Eucharis,3,507,"pink_sun,emerald_lakes,sulfuric_acid_fog,huge_gravity,1000*C,eternal_night,diamond_rain",756.01,-518.77,813.69
17,Veritas,3,195,"comets_rain,frozen_oceans,sulfuric_acid_fog,1000*C,eternal_night,huge_gravity,diamond_rain",752.83,-513.44,815.03
18,Melusina,3,394,"sulfuric_acid_fog,frozen_oceans,glowing_mountains",766.44,-516.54,817.23
