transaction_id,amount,method,payment_date,trip_id,client_id
1,314428.73,card,2025-02-27,126,1
2,54127.82,transfer,2025-03-10,153,2
3,62630.03,card,2025-01-12,23,2
4,388093.83,crypto,2024-12-23,42,3
5,188950.81,card,2025-03-29,168,4
6,388093.83,card,2024-11-03,42,4
7,103942.25,card,2025-03-20,10,5
8,63974.66,crypto,2024-08-01,91,6
9,103929.26,crypto,2024-10-02,36,6
10,202302.81,crypto,2024-11-15,60,6
11,600719.73,transfer,2025-05-15,98,7
12,1915416.49,transfer,2024-09-06,75,8
13,75466.3,transfer,2025-04-10,5,8
14,26048.12,card,2025-01-26,167,8
15,62630.03,card,2024-07-22,23,9
16,564674.75,transfer,2024-06-30,131,9
17,255401.9,crypto,2025-06-07,45,10
18,255000.7,card,2024-06-17,34,10
19,258949.3,card,2025-01-19,88,10
20,287334.47,transfer,2024-07-19,158,11
21,199417.13,crypto,2025-06-07,130,11
22,319284.08,card,2025-05-18,58,11
23,446830.4,crypto,2024-10-22,120,12
24,501715.35,transfer,2025-03-15,30,12
25,287334.47,transfer,2025-01-21,158,12
26,324640.56,card,2025-06-03,7,13
27,120999.52,card,2024-09-13,114,14
28,179794.03,card,2024-06-18,13,15
29,39136.17,card,2025-04-19,44,16
30,407658.59,card,2025-01-13,70,16
31,328525.96,transfer,2025-02-08,19,17
32,700095.54,card,2025-02-17,2,17
33,363091.55,transfer,2024-09-16,99,18
34,202302.81,crypto,2024-12-23,60,18
35,348045.21,card,2024-11-21,121,18
36,167476.25,transfer,2025-01-09,112,19
37,234202.19,crypto,2024-06-11,115,20
38,130397.02,transfer,2024-08-22,62,20
39,265510.47,transfer,2024-12-17,95,20
40,319086.6,card,2024-07-10,87,21
41,480887.2,card,2024-12-06,33,21
42,256911.47,card,2025-03-18,138,21
43,363091.55,card,2025-06-02,99,22
44,695230.84,transfer,2025-01-10,53,22
45,398464.48,card,2025-05-16,136,22
46,123965.2,transfer,2025-04-05,68,23
47,51584.73,crypto,2025-01-23,169,24
48,209279.7,card,2025-02-14,113,25
49,1915416.49,crypto,2025-04-14,75,25
50,221856.71,transfer,2024-08-06,1,26
51,141310.42,transfer,2025-04-23,142,27
52,477379.25,transfer,2025-06-02,163,28
53,88049.42,card,2025-04-28,146,28
54,395189.3,card,2024-09-06,48,28
55,75466.3,crypto,2024-10-09,5,29
56,192830.73,crypto,2024-11-13,37,29
57,32608.82,card,2024-10-28,129,30
58,228844.64,crypto,2024-09-09,82,30
59,194874.36,card,2025-06-04,46,31
60,375782.93,transfer,2024-08-05,149,32
61,1009070.13,crypto,2025-01-23,76,33
62,375782.93,transfer,2025-01-23,149,33
63,255401.9,card,2024-12-17,45,33
64,63974.66,transfer,2024-07-03,91,34
65,540518.77,crypto,2025-01-06,102,35
66,122196.71,crypto,2025-02-26,40,35
67,359349.58,card,2025-01-14,41,36
68,255000.7,card,2024-08-12,34,37
69,202302.81,crypto,2025-01-21,60,37
70,314428.73,crypto,2024-06-17,126,37
71,159551.32,card,2024-06-23,90,38
72,256911.47,crypto,2024-08-29,138,39
73,79073.69,card,2025-05-02,151,39
74,477379.25,transfer,2024-07-29,163,40
75,167476.25,transfer,2024-07-17,112,40
76,54127.82,card,2024-06-09,153,41
77,404244.62,transfer,2024-06-14,154,41
78,348045.21,transfer,2024-12-09,121,42
79,45377.87,transfer,2025-04-14,124,42
80,185172.89,transfer,2025-01-30,25,42
81,293717.06,card,2024-07-28,26,43
82,368697.58,crypto,2025-03-30,160,43
83,212290.05,card,2024-11-16,71,44
84,293717.06,card,2024-08-05,26,45
85,348045.21,card,2024-08-12,121,46
86,234932.2,crypto,2024-09-21,109,47
87,45377.87,transfer,2024-08-24,124,48
88,103942.25,card,2025-01-11,10,49
89,123965.2,transfer,2025-05-22,68,50
90,39382.1,card,2025-03-29,65,50
91,198474.72,card,2024-12-29,15,50
