trip_id,trip_type_id,rocket_id,departure_date,return_date,status,speed
1,1,17,2024-06-02,2024-06-14,Scheduled,575817253.457953
2,2,12,2024-07-03,2024-07-26,Delayed,994341361.5707902
3,2,3,2023-09-30,2023-10-24,Scheduled,843167144.0392323
4,2,1,2024-02-05,2024-02-12,Completed,584009793.8768445
5,2,20,2023-07-13,2023-08-11,Scheduled,69860684.21772163
6,3,7,2023-02-10,2023-02-19,Scheduled,551929660.6418658
7,3,4,2023-08-31,2023-09-27,Completed,382735254.03713244
8,4,17,2023-11-21,2023-12-18,Delayed,44515230.31040804
9,5,1,2024-02-22,2024-03-02,Delayed,581187721.3671263
10,5,10,2024-01-02,2024-01-09,Completed,427403576.9712414
11,5,16,2023-06-04,2023-06-17,Scheduled,134112422.75193895
12,5,4,2024-05-29,2024-06-10,Completed,443684158.2846675
13,6,17,2023-10-12,2023-10-18,Delayed,917952962.8796512
14,6,8,2023-04-10,2023-04-22,Delayed,781808886.7417362
15,6,9,2024-08-06,2024-08-25,Scheduled,323639851.9072117
16,6,8,2023-07-21,2023-08-05,Completed,851566134.49648
17,7,15,2023-11-20,2023-12-09,Delayed,658757522.2723593
18,7,20,2024-02-03,2024-02-28,Scheduled,64183085.71849336
19,8,5,2023-05-06,2023-05-21,Scheduled,698946584.7398354
20,8,20,2023-01-30,2023-02-14,Scheduled,414855501.4525725
21,8,4,2024-07-30,2024-08-22,Completed,379079621.16611224
22,8,13,2023-05-02,2023-05-16,Scheduled,214812109.7447992
23,8,8,2024-02-11,2024-02-23,Completed,133347314.83030643
24,9,12,2023-03-10,2023-04-02,Completed,338672999.3710039
25,9,8,2023-02-08,2023-02-18,Scheduled,569117953.4220122
26,9,11,2023-08-14,2023-09-02,Scheduled,490512380.1455583
27,9,5,2023-03-06,2023-04-01,Delayed,353748825.3588291
28,10,16,2023-02-16,2023-03-13,Scheduled,737922896.7786804
29,11,14,2024-05-19,2024-06-15,Delayed,659901210.7414365
30,11,5,2023-06-16,2023-07-08,Scheduled,738962655.4538589
31,11,3,2023-06-08,2023-07-02,Completed,359680069.0034344
32,12,16,2024-03-25,2024-04-01,Delayed,360858421.1538781
33,13,1,2024-03-21,2024-04-09,Completed,818881052.4740676
34,13,18,2023-08-18,2023-09-03,Completed,501824366.93037647
35,13,8,2024-04-18,2024-05-01,Delayed,1008219632.1250639
36,13,12,2023-09-19,2023-10-06,Completed,176699527.5793383
37,14,18,2023-02-16,2023-03-01,Scheduled,458219817.3361409
38,14,10,2023-09-28,2023-10-08,Completed,529392535.2827231
39,14,2,2024-06-17,2024-07-17,Completed,106786438.6644093
40,14,7,2024-08-20,2024-09-13,Delayed,150273215.15203217
41,14,15,2024-06-07,2024-06-18,Delayed,1044619939.1662604
42,15,3,2024-07-27,2024-08-26,Completed,415034812.28907996
43,16,1,2023-12-12,2023-12-21,Delayed,597000452.3835264
44,16,15,2024-01-11,2024-02-01,Delayed,39204240.82003662
45,17,5,2023-11-14,2023-11-26,Delayed,671081676.6002827
46,17,11,2023-09-05,2023-09-12,Completed,860711219.5673094
47,18,10,2024-05-20,2024-06-01,Completed,124841144.06224416
48,18,13,2024-04-21,2024-05-05,Delayed,905807857.3193154
49,18,6,2024-04-30,2024-05-30,Completed,401916544.4585639
50,18,18,2023-04-13,2023-05-10,Scheduled,810374534.8449789
51,19,3,2024-01-20,2024-02-19,Scheduled,739076208.3984463
52,19,7,2024-04-04,2024-04-13,Completed,496940061.9009048
53,19,17,2023-06-08,2023-07-02,Scheduled,945372696.3470093
54,20,12,2023-01-15,2023-02-08,Completed,671005676.1645296
55,20,19,2024-02-03,2024-02-09,Scheduled,860279364.7721394
56,20,19,2024-06-02,2024-06-13,Delayed,152113240.06474146
57,20,9,2023-09-30,2023-10-26,Delayed,286839899.6692504
58,21,16,2023-09-26,2023-10-25,Delayed,349895491.4914263
59,21,6,2024-02-12,2024-02-25,Delayed,330075650.62716174
60,22,15,2023-12-14,2024-01-07,Scheduled,260924039.8476893
61,22,8,2024-03-22,2024-04-14,Completed,523063790.8705992
62,22,8,2023-05-05,2023-05-20,Completed,257687814.62594572
63,23,3,2023-02-21,2023-03-20,Scheduled,483985631.21716934
64,24,10,2023-05-02,2023-05-15,Completed,917695546.4213369
65,24,17,2024-05-17,2024-05-25,Scheduled,103415014.38423179
66,24,15,2023-01-14,2023-02-10,Delayed,375967562.09167147
67,25,13,2023-03-15,2023-03-29,Completed,401325297.6445159
68,25,14,2023-09-19,2023-09-27,Delayed,458188321.9509742
69,25,20,2024-07-12,2024-07-30,Scheduled,660033088.314459
70,26,9,2023-04-05,2023-04-24,Scheduled,690629110.2323662
71,26,4,2024-04-18,2024-04-25,Scheduled,941262140.8249564
