transaction_id,client_id,trip_id,num_seats,amount,payment_date,method
1,1,23,4,376000.0,2025-02-04,card
2,2,20,2,168000.0,2025-05-24,card
3,3,1,4,546000.0,2024-10-04,card
4,3,38,2,174000.0,2025-02-18,transfer
5,4,37,3,436500.0,2025-05-24,card
6,4,33,3,396000.0,2024-11-18,transfer
7,5,13,3,264000.0,2024-06-04,crypto
8,6,26,4,372000.0,2024-09-02,crypto
9,7,20,4,376000.0,2025-01-03,card
10,8,36,1,123000.0,2025-05-02,card
11,8,7,2,270000.0,2024-09-15,card
12,9,22,3,273000.0,2025-05-17,crypto
13,10,25,4,380000.0,2024-06-28,card
14,11,28,1,127500.0,2024-06-23,crypto
15,11,37,2,276000.0,2024-12-31,card
16,12,44,2,282000.0,2024-12-11,card
17,13,42,1,81000.0,2025-03-03,crypto
18,14,2,3,405000.0,2024-08-04,transfer
19,15,16,1,78000.0,2025-03-22,crypto
20,16,6,1,130500.0,2025-04-04,transfer
21,17,40,1,75000.0,2024-11-13,card
22,18,7,1,127500.0,2024-11-06,crypto
23,19,28,1,127500.0,2024-10-22,transfer
24,19,21,4,360000.0,2024-06-03,crypto
25,20,27,3,273000.0,2025-03-23,card
26,21,8,4,588000.0,2025-03-15,transfer
27,22,29,4,612000.0,2024-07-02,card
28,22,40,3,255000.0,2025-04-20,crypto
29,23,16,4,372000.0,2024-11-28,crypto
30,24,16,2,166000.0,2025-01-04,transfer
31,25,43,2,282000.0,2024-11-19,crypto
32,26,37,2,276000.0,2025-03-05,crypto
33,27,42,3,273000.0,2025-02-06,card
34,28,28,3,427500.0,2025-05-21,crypto
35,28,43,4,624000.0,2024-06-20,card
36,29,12,3,264000.0,2025-04-15,transfer
37,30,33,1,117000.0,2024-11-07,card
38,30,41,4,376000.0,2024-08-05,transfer
39,31,43,1,133500.0,2025-03-21,transfer
40,31,17,4,384000.0,2025-03-26,crypto
41,32,12,1,78000.0,2024-08-08,crypto
42,33,37,2,276000.0,2025-05-16,crypto
43,33,7,3,427500.0,2025-05-21,transfer
44,33,26,1,78000.0,2025-05-11,crypto
45,34,38,1,82000.0,2024-10-15,crypto
46,35,11,4,380000.0,2024-12-08,transfer
47,36,34,1,124500.0,2025-03-11,crypto
48,36,12,1,78000.0,2024-11-18,crypto
49,37,18,1,79000.0,2024-05-29,crypto
50,38,23,4,376000.0,2024-07-24,transfer
51,39,2,2,255000.0,2024-07-04,transfer
52,39,32,4,570000.0,2025-05-12,crypto
53,40,16,1,78000.0,2024-08-21,transfer
54,41,15,4,380000.0,2025-02-11,card
55,42,2,1,120000.0,2024-06-22,card
56,42,9,1,76000.0,2024-06-19,card
57,43,20,2,168000.0,2024-08-25,transfer
58,44,24,3,255000.0,2024-12-17,crypto
59,45,17,3,273000.0,2024-11-13,transfer
60,46,25,3,270000.0,2024-08-26,crypto
61,47,46,1,127500.0,2024-12-15,transfer
62,47,41,2,168000.0,2025-01-11,crypto
63,49,31,3,267000.0,2024-12-28,crypto
64,50,5,2,258000.0,2024-07-02,transfer
65,50,10,3,252000.0,2024-10-30,crypto
