transaction_id,amount,method,payment_date,trip_id,client_id
1,11526.46,crypto,2024-07-17,342,1
2,11406.83,crypto,2025-01-25,111,1
3,11530.43,crypto,2024-07-20,354,1
4,11515.53,transfer,2024-12-11,42,2
5,11101.78,card,2025-02-09,12,2
6,14376.33,crypto,2024-07-24,59,3
7,11247.49,transfer,2025-01-22,161,3
8,11433.93,transfer,2024-08-05,146,3
9,14782.84,card,2024-11-25,188,4
10,10901.98,transfer,2025-02-02,2,4
11,11560.79,transfer,2024-11-18,232,4
12,11728.04,crypto,2024-06-02,317,5
13,11411.83,transfer,2025-05-26,138,6
14,11302.06,card,2024-11-13,8,7
15,14451.61,transfer,2024-11-12,209,8
16,11100.17,crypto,2024-08-14,9,9
17,11673.2,card,2024-07-20,380,9
18,11440.02,crypto,2024-06-30,94,9
19,14134.04,transfer,2024-07-18,76,10
20,11312.29,card,2024-09-13,21,10
21,13874.47,card,2024-10-11,61,11
22,14032.88,transfer,2025-03-30,198,11
23,10960.67,card,2025-05-11,229,12
24,11728.25,card,2025-01-27,311,12
25,14625.16,crypto,2024-09-12,57,12
26,11233.61,card,2025-04-25,142,13
27,10962.95,crypto,2025-04-05,238,13
28,11438.38,card,2024-11-02,151,13
29,14074.93,transfer,2024-10-15,73,14
30,11513.5,card,2025-02-06,276,14
31,14717.69,card,2025-03-28,192,14
32,11441.29,crypto,2024-12-26,95,15
33,11517.39,crypto,2024-08-03,287,15
34,11561.93,transfer,2025-01-20,225,15
35,11467.68,card,2024-09-10,408,16
36,11406.83,card,2024-11-09,111,17
37,11018.53,card,2024-06-11,133,17
38,11560.79,crypto,2025-01-05,232,17
39,11237.81,card,2024-07-18,166,18
40,14220.38,card,2024-06-01,182,19
41,11356.77,transfer,2024-08-16,221,19
42,11671.42,crypto,2025-04-25,378,19
43,11515.5,crypto,2025-03-15,280,20
44,14531.0,crypto,2024-10-23,180,20
45,14033.2,transfer,2024-08-13,173,21
46,11562.11,card,2025-01-23,242,21
47,11009.06,crypto,2024-11-08,106,21
48,11417.29,card,2024-07-05,124,22
49,11233.61,card,2025-02-27,142,22
50,11411.83,card,2024-06-03,138,22
51,11212.23,transfer,2024-06-02,137,23
52,11327.58,transfer,2024-10-21,338,23
53,11126.58,crypto,2025-05-02,346,23
54,11233.61,transfer,2024-11-28,142,24
55,11359.04,crypto,2025-03-01,236,24
56,10967.9,card,2025-03-12,216,24
57,14072.37,crypto,2024-08-08,70,25
58,11419.02,card,2024-07-20,131,26
59,11609.22,card,2024-05-31,104,26
60,10970.01,transfer,2024-09-27,252,26
61,14282.45,transfer,2024-06-27,178,27
62,11726.91,card,2025-02-01,341,28
63,10963.27,card,2024-11-14,241,28
64,11159.43,transfer,2024-08-26,267,29
65,11731.8,transfer,2024-09-14,327,29
66,10907.94,transfer,2024-11-27,28,30
67,11316.09,transfer,2025-04-18,286,31
68,11101.56,card,2025-03-16,4,31
69,11100.13,crypto,2024-10-06,7,31
70,11466.41,crypto,2025-03-05,398,32
71,14624.71,card,2025-01-29,62,32
72,14719.25,transfer,2024-06-22,181,33
73,14032.57,card,2024-08-20,187,33
74,11611.55,transfer,2024-08-06,114,34
75,11115.94,crypto,2025-05-24,36,34
76,11369.81,crypto,2025-04-06,254,34
77,11009.06,transfer,2025-05-16,106,35
78,11018.84,crypto,2024-12-01,121,36
79,14375.75,crypto,2025-05-26,64,36
80,11128.58,transfer,2024-08-03,337,37
81,14825.14,card,2024-10-09,72,38
82,11529.44,transfer,2024-10-25,316,39
83,11329.11,transfer,2024-08-25,353,40
84,10919.71,transfer,2024-09-15,27,40
85,11417.29,card,2025-01-11,124,40
86,11037.64,card,2025-01-27,157,41
87,10963.27,card,2025-02-24,241,42
88,11272.38,card,2024-06-03,384,43
89,11115.21,transfer,2024-09-06,45,43
90,11433.93,card,2024-07-03,146,44
91,11047.89,transfer,2025-03-02,165,44
92,11238.71,crypto,2024-10-31,153,45
93,11360.28,card,2024-10-09,231,45
94,14823.48,crypto,2025-01-11,65,46
95,11530.57,card,2025-03-03,349,46
96,11527.64,card,2024-09-15,312,47
97,11618.85,card,2024-06-17,130,47
98,11011.88,card,2024-09-04,116,47
99,11039.86,transfer,2024-12-16,92,48
100,11301.96,crypto,2024-05-29,11,49
101,11327.72,transfer,2024-10-08,322,50
