trip_id,employee_id,role_in_trip
1,19,Pilot
1,17,Navigator
1,26,Commander
2,6,Pilot
2,25,Navigator
2,5,Technician
3,16,Pilot
3,10,Navigator
3,7,Commander
4,16,Pilot
4,29,Navigator
4,5,Technician
5,11,Pilot
5,24,Navigator
5,7,Commander
6,4,Pilot
6,25,Navigator
6,23,Technician
6,26,Commander
7,15,Pilot
7,30,Navigator
7,26,Commander
7,7,Commander
8,2,Pilot
8,18,Navigator
8,26,Commander
8,20,Commander
9,6,Pilot
9,29,Navigator
10,16,Pilot
10,22,Navigator
11,21,Pilot
11,14,Navigator
12,4,Pilot
12,22,Navigator
13,15,Pilot
13,13,Navigator
14,16,Pilot
14,25,Navigator
15,21,Pilot
15,18,Navigator
16,12,Pilot
16,10,Navigator
17,19,Pilot
17,22,Navigator
18,2,Pilot
18,28,Navigator
19,15,Pilot
19,13,Navigator
20,2,Pilot
20,10,Navigator
21,6,Pilot
21,28,Navigator
22,8,Pilot
22,30,Navigator
23,1,Pilot
23,25,Navigator
24,1,Pilot
24,18,Navigator
25,9,Pilot
25,18,Navigator
26,8,Pilot
26,24,Navigator
27,6,Pilot
27,17,Navigator
28,12,Pilot
28,14,Navigator
28,20,Commander
28,5,Technician
29,8,Pilot
29,22,Navigator
29,7,Commander
29,5,Technician
30,21,Pilot
30,29,Navigator
30,5,Technician
31,15,Pilot
31,13,Navigator
32,4,Pilot
32,14,Navigator
32,7,Commander
32,5,Technician
33,15,Pilot
33,25,Navigator
33,20,Commander
34,15,Pilot
34,18,Navigator
34,26,Commander
34,7,Commander
35,9,Pilot
35,22,Navigator
35,23,Technician
36,8,Pilot
36,17,Navigator
36,23,Technician
37,2,Pilot
37,28,Navigator
37,20,Commander
37,26,Commander
38,1,Pilot
38,10,Navigator
39,11,Pilot
39,14,Navigator
40,11,Pilot
40,28,Navigator
41,2,Pilot
41,29,Navigator
42,8,Pilot
42,22,Navigator
43,9,Pilot
43,17,Navigator
43,20,Commander
43,7,Commander
44,15,Pilot
44,18,Navigator
44,26,Commander
44,5,Technician
45,2,Pilot
45,22,Navigator
45,26,Commander
46,2,Pilot
46,24,Navigator
46,20,Commander
46,23,Technician
