trip_id,triptype_id,rocket_id,departure_date,return_date,status
1,1,4,2023-05-30,2023-06-20,Completed
2,1,2,2023-04-22,2023-05-03,Completed
3,1,3,2026-12-03,2026-12-22,Delayed
4,2,1,2026-05-13,2026-05-24,Scheduled
5,2,4,2024-08-22,2024-08-29,Completed
6,2,4,2025-10-22,2025-11-02,Delayed
7,3,2,2026-01-18,2026-02-04,Scheduled
8,4,1,2025-11-24,2025-12-06,Delayed
9,5,4,2024-08-23,2024-09-09,Completed
10,5,4,2026-11-24,2026-12-12,Scheduled
11,5,1,2025-04-15,2025-04-29,Completed
12,6,2,2023-10-03,2023-10-13,Completed
13,7,4,2026-10-23,2026-11-21,Delayed
14,8,3,2023-03-12,2023-04-04,Completed
15,9,1,2026-07-05,2026-07-23,Delayed
16,10,3,2027-01-01,2027-01-13,Delayed
17,10,2,2026-05-26,2026-06-06,Delayed
18,10,4,2023-07-12,2023-07-26,Completed
19,11,4,2026-07-08,2026-07-17,Delayed
20,11,3,2025-05-16,2025-05-24,Completed
21,11,1,2024-02-08,2024-02-19,Completed
22,12,2,2023-11-14,2023-11-23,Completed
23,12,4,2024-11-06,2024-11-24,Completed
24,12,4,2025-08-20,2025-09-14,Delayed
25,13,2,2023-12-23,2024-01-16,Completed
26,13,4,2023-11-01,2023-11-08,Completed
27,13,2,2026-06-07,2026-07-05,Delayed
28,14,4,2025-08-27,2025-09-08,Scheduled
29,14,3,2024-08-24,2024-09-09,Completed
30,15,1,2025-08-14,2025-08-22,Scheduled
31,15,4,2023-07-19,2023-07-31,Completed
32,16,3,2023-09-08,2023-10-02,Completed
33,17,1,2025-04-25,2025-05-23,Completed
34,17,2,2026-01-10,2026-01-21,Scheduled
35,18,3,2025-08-24,2025-09-05,Delayed
36,19,4,2023-08-03,2023-08-20,Completed
37,19,1,2023-06-24,2023-07-18,Completed
38,20,2,2023-09-17,2023-10-14,Completed
