triptype_id,name,description,is_round_trip,planet_id
1,Mission to Aetheria,Explore the unique surface and atmosphere of planet Aetheria.,True,1
2,Mission to Zorath,Explore the unique surface and atmosphere of planet Zorath.,True,2
3,Mission to Nyxos,Explore the unique surface and atmosphere of planet Nyxos.,True,3
4,Mission to Virella,Explore the unique surface and atmosphere of planet Virella.,False,4
5,Mission to Targus,Explore the unique surface and atmosphere of planet Targus.,False,5
6,Mission to Ecliptor,Explore the unique surface and atmosphere of planet Ecliptor.,False,6
7,Mission to Orionis,Explore the unique surface and atmosphere of planet Orionis.,False,7
8,Mission to Caelora,Explore the unique surface and atmosphere of planet Caelora.,False,8
9,Mission to Draconis,Explore the unique surface and atmosphere of planet Draconis.,False,9
10,Mission to Pyrrhos,Explore the unique surface and atmosphere of planet Pyrrhos.,False,10
11,Mission to Talmera,Explore the unique surface and atmosphere of planet Talmera.,False,11
12,Mission to Lunaris,Explore the unique surface and atmosphere of planet Lunaris.,True,12
13,Mission to Zephyra,Explore the unique surface and atmosphere of planet Zephyra.,False,13
14,Mission to Solvana,Explore the unique surface and atmosphere of planet Solvana.,True,14
15,Mission to Obscura,Explore the unique surface and atmosphere of planet Obscura.,True,15
16,Mission to Cryon,Explore the unique surface and atmosphere of planet Cryon.,True,16
17,Mission to Valtor,Explore the unique surface and atmosphere of planet Valtor.,False,17
18,Mission to Serenos,Explore the unique surface and atmosphere of planet Serenos.,False,18
19,Mission to Arctyra,Explore the unique surface and atmosphere of planet Arctyra.,True,19
20,Mission to Phobaris,Explore the unique surface and atmosphere of planet Phobaris.,True,20
